,countries,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
30,China,CH,CHN,94879370.28571,179210744.42857,124781476.71429,-0.22430,-0.92192,-3.29653,-212811.53067,-1652175.83578,-4113463.83793,6.09623,3.66789,-5.97330,5784060.88591,6573247.17873,-7453574.17184,-0.86663,7.12202,-0.15817,-822249.20007,12763432.79497,-197368.14517,-1.17205,-1.17682,-5.05165,-1112037.89393,-2108985.34730,-6303517.67522,7.26287,3.64713,-6.95717,6890964.18842,6536041.82651,-8681254.61947,8.31417,8.70671,-2.84818,7888432.27892,15603366.89753,-3553998.00236,3.80454,-0.23647,-3.54184,3609722.34750,-423787.20772,-4419561.66687,7.82739,2.99786,-5.95600,7426575.41122,5372490.07883,-7431989.75929,5.75211,8.90861,-2.44744,5457566.95798,15965179.34090,-3053953.20182,-2.31237,-1.31490,-5.30593,-2193959.28733,-2356443.65532,-6620815.41976,6.09717,-0.12996,-7.43410,5784953.86936,-232896.74869,-9276384.70998,6.59518,7.54693,-4.11270,6257463.11572,13524916.40713,-5131885.46890,3.32308,-0.67114,-3.35095,3152919.15024,-1202758.44965,-4181366.12003,5.25686,0.82384,-6.61703,4987675.87841,1476410.44796,-8256821.80564,5.68573,-0.62601,-7.80640,5394580.68501,-1121885.70472,-9740944.05687,0.74835,-1.67757,-5.56470,710032.69415,-3006382.22149,-6943720.51941,4.23007,0.43766,-7.45911,4013462.71452,784334.69406,-9307589.55341,6.83508,3.82788,-6.21786,6485078.88958,6859980.33375,-7758740.22107,0.08220,-1.77553,-5.73194,77986.29254,-3181941.58961,-7152399.17772,4.99764,0.81480,-7.41287,4741731.95462,1460204.60156,-9249893.79190,7.56187,4.28713,-5.45728,7174654.88560,7682989.55953,-6809668.93609,China,25.38845,45.25139,29.36016,-0.48066,0.48458,0.98545,-0.77109,0.48389,1.73817,-0.06033,0.53171,1.59102,-0.91330,-0.23117,1.29400,-0.14796,-0.07844,-0.37725,-0.73431,-0.30600,0.54731,-0.82183,-0.17963,0.75252
68,India,IN,IND,70674928.0,129906128.57143,13599800.0,-4.09953,-6.09953,-7.09953,-2897341.18071,-7923665.68251,-965522.13203,-1.96654,-2.96654,-8.96654,-1389853.60301,-3853722.54901,-1219432.05994,-2.44421,-3.44421,-12.44421,-1727441.27168,-4474235.48524,-1692387.21245,-2.22806,-4.22806,-5.22806,-1574681.67220,-5492512.49947,-711006.06399,-3.27071,-5.27071,-10.27071,-2311568.44453,-6846968.88871,-1396795.34642,-1.07383,-2.07383,-12.07383,-758929.48795,-2694033.93625,-1642016.90718,-1.77626,-3.77626,-4.77626,-1255372.75664,-4905597.36262,-649562.24632,-0.96811,-2.96811,-7.96811,-684214.23614,-3855762.65746,-1083647.63775,-0.08296,-1.08296,-11.08296,-58633.16474,-1406833.69741,-1507260.63355,-2.79575,-4.79575,-5.79575,-1975894.49651,-6229973.52297,-788210.44640,-4.06003,-6.06003,-11.06003,-2869425.48384,-7872354.41543,-1504142.38416,-2.11396,-3.11396,-13.11396,-1494036.34150,-4045218.69347,-1783471.68428,-1.67841,-3.67841,-4.67841,-1186217.14982,-4778483.86699,-636254.80550,-2.13705,-3.13705,-7.13705,-1510355.06497,-4075213.80275,-970623.85551,-4.85907,-7.85907,-10.85907,-3434144.90291,-10209414.82666,-1476811.93251,-4.62209,-6.62209,-7.62209,-3266660.32196,-8602503.58451,-1036589.29261,-5.62810,-6.62810,-10.62810,-3977652.31222,-8610302.02280,-1445399.70676,-4.64188,-5.64188,-11.64188,-3280644.90665,-7329147.07570,-1583272.31134,-2.92672,-4.92672,-5.92672,-2068460.08547,-6400116.42430,-806022.61165,-3.55500,-4.55500,-8.55500,-2512491.98690,-5917221.02526,-1163462.56220,-2.26457,-3.26457,-9.26457,-1600481.97018,-4240874.20974,-1259962.75094,India,32.30633,62.84411,4.84956,-1.83397,-0.97815,-1.18587,-1.21014,-1.62235,-0.74524,-1.05954,-0.85482,-0.41495,-1.39937,-1.88546,-1.09195,-1.02693,-1.00265,-2.34512,-2.00815,-2.16634,-1.86993,-1.44303,-1.47531,-1.07749
69,Indonesia,ID,IDN,0.0,52668656.85714,10693671.71429,-1.95375,-1.02376,-3.83095,0.00000,-539200.83618,-409669.23792,4.88132,1.52721,-7.51608,0.00000,804361.76807,-803744.81880,1.14456,-0.50263,-10.59816,0.00000,-264727.22711,-1133332.55180,3.08723,-0.31972,-3.13357,0.00000,-168391.44707,-335093.89935,5.00488,1.79085,-6.29110,0.00000,943219.08363,-672749.78516,7.34501,4.77860,-7.33580,0.00000,2516826.35041,-784466.56566,0.98063,-0.48006,-3.13142,0.00000,-252842.68825,-334863.63281,6.25390,1.62314,-6.23965,0.00000,854884.46433,-667248.08993,5.93470,3.02476,-9.43958,0.00000,1593101.04376,-1009437.81777,-1.09619,-1.49974,-4.32791,0.00000,-789891.80660,-462812.03724,4.15269,1.31813,-6.78023,0.00000,694243.13133,-725055.00453,2.95667,2.76141,-9.54001,0.00000,1454395.52628,-1020177.08085,-2.11598,-1.40818,-3.86028,0.00000,-741669.26177,-412805.54057,1.29333,-0.00143,-6.73215,0.00000,-753.79652,-719913.56077,4.11741,-2.28754,-8.09302,0.00000,-1204816.16350,-865441.09411,2.95258,-1.46752,-4.43736,0.00000,-772922.48518,-474516.77844,4.32859,0.23207,-6.47724,0.00000,122226.35737,-692654.40967,5.74375,2.00488,-6.94221,0.00000,1055943.64348,-742376.89839,1.26421,-1.58819,-4.32558,0.00000,-836478.77625,-462563.36612,2.76212,-0.53649,-7.29332,0.00000,-282562.36788,-779923.82386,5.46135,1.51118,-7.41922,0.00000,795918.05657,-793386.85854,Indonesia,0.0,84.59264,15.40736,-0.48542,0.04463,-0.68603,-0.25109,0.18188,0.97070,-0.29619,0.13723,0.36811,-0.64516,0.02346,0.28869,-0.59533,-0.34615,-1.06067,-0.64170,-0.26722,0.20879,-0.66998,-0.52585,0.04508
10,Bangladesh,BG,BGD,1370010.71429,38483787.71429,203940.71429,-7.55381,-2.22883,-7.74680,-103488.04180,-857738.18153,-15798.88846,9.58182,2.69654,-10.91169,131271.98507,1037730.23765,-22253.37355,9.37360,6.75564,-4.98320,128419.28541,2599825.01908,-10162.76656,3.85899,-1.65837,-7.19301,52868.53884,-638205.50189,-14669.47313,4.88697,-0.14809,-12.85299,66951.97112,-56992.39748,-26212.47130,12.49629,7.58027,-7.70574,171200.44759,2917174.66163,-15715.15055,-0.73707,-1.38880,-6.51719,-10097.99538,-534461.54120,-13291.19571,10.25332,1.67641,-10.48056,140471.51729,645146.93045,-21374.13852,14.08855,8.31371,-7.84714,193014.64710,3199431.37925,-16003.52014,-3.70315,-1.71201,-7.28243,-50733.52613,-658846.84325,-14851.84212,3.99114,-0.09525,-12.84114,54679.06526,-36654.97809,-26188.32030,3.56098,4.57283,-11.18070,48785.83839,1759798.49820,-22802.00606,-7.05973,-2.29024,-6.92049,-96719.10795,-881370.95517,-14113.69201,0.46489,-1.27200,-12.09879,6369.02833,-489514.84380,-24674.35672,10.02020,-1.49218,-11.50589,137277.77328,-574248.56292,-23465.18920,5.03627,-3.01398,-8.93858,68997.48832,-1159892.86468,-18229.40856,7.51846,-1.22286,-11.99611,103003.73925,-470601.33258,-24464.96027,9.51298,1.66581,-11.70191,130328.85923,641065.93066,-23864.96437,1.77645,-3.64866,-9.86082,24337.50360,-1404141.05540,-20110.23642,4.18131,-3.71451,-15.98500,57284.34174,-1429485.02474,-32599.93168,8.31779,-1.53272,-16.32392,113954.56849,-589849.29249,-33291.11052,Bangladesh,4.63236,95.35859,0.00905,-0.82533,1.00475,2.29195,-0.46776,0.02800,2.60220,-0.45302,0.69087,2.85992,-0.60158,0.03096,1.50818,-0.83720,-0.39751,-0.31993,-0.88053,-0.27297,0.67604,-1.13264,-1.11662,-0.35925
159,Viet Nam,VM,VNM,0.0,34488628.57143,2974528.57143,-2.79999,-0.69503,-1.00873,0.00000,-239707.48886,-30004.98182,5.67373,1.95406,-3.78488,0.00000,673927.66807,-112582.43224,2.60653,0.90155,-5.50099,0.00000,310932.99663,-163628.45712,2.80435,0.08854,-1.73951,0.00000,30535.05055,-51742.23919,4.19875,2.16003,-5.19284,0.00000,744965.20930,-154462.51295,8.10005,5.53806,-4.09599,0.00000,1910000.02596,-121836.28183,0.49566,0.10504,-1.32959,0.00000,36226.99747,-39549.03196,6.74954,2.34238,-3.76950,0.00000,807856.19258,-112124.97189,8.39809,3.46622,-3.60116,0.00000,1195450.38831,-107117.54993,-1.25460,0.03772,-2.57542,0.00000,13010.64122,-76606.69954,2.89326,1.40044,-5.79788,0.00000,482991.68871,-172459.73657,2.26017,4.07164,-7.19545,0.00000,1404254.25399,-214030.86007,-2.80748,-0.78110,-1.90580,0.00000,-269389.95432,-56688.59844,1.00172,0.75083,-4.89059,0.00000,258951.96203,-145472.07743,5.08278,-1.19252,-5.38680,0.00000,-411283.24768,-160231.91654,2.54822,-1.43086,-3.55978,0.00000,-493483.28451,-105886.68884,3.91199,0.34966,-5.55570,0.00000,120592.94918,-165255.90641,5.92162,2.71958,-4.93618,0.00000,937946.85752,-146828.09216,1.38127,-1.12139,-2.13960,0.00000,-386751.87949,-63642.91955,3.35073,-0.21230,-3.97862,0.00000,-73220.48664,-118345.31667,6.06674,3.15761,-4.91972,0.00000,1089015.13339,-146338.47380,Vietnam,0.0,94.4987,5.5013,-0.23743,0.54611,0.18311,-0.00401,0.58518,1.66935,0.00871,0.66872,1.02581,-0.03534,0.33481,1.15060,-0.28099,0.14683,-0.47442,-0.51599,0.00826,0.76614,-0.39247,-0.13983,0.90442
145,Thailand,TH,THA,828.57143,27651579.57143,4176972.0,2.75447,0.75447,-0.24553,22.82273,208622.29214,-10255.80700,4.23427,3.23427,-2.76573,35.08396,894327.08264,-115523.71633,-8.32313,-9.32313,-18.32313,-68.96304,-2577991.61984,-765351.84487,3.53966,1.53966,0.53966,29.32861,425740.41812,22541.46342,4.24373,2.24373,-2.75627,35.16237,620427.96699,-115128.44779,1.52721,0.52721,-9.47279,12.65399,145780.83133,-395675.94624,2.56774,0.56774,-0.43226,21.27557,156989.54122,-18055.30917,4.49962,2.49962,-2.50038,37.28257,691184.71781,-104440.12649,-0.17021,-1.17021,-11.17021,-1.41030,-323581.14788,-466576.48340,3.46451,1.46451,0.46451,28.70592,404959.53004,19402.35929,4.04740,2.04740,-2.95260,33.53557,566137.58280,-123329.40478,-1.25606,-2.25606,-12.25606,-10.40732,-623835.19553,-511932.03883,1.59725,-0.40275,-1.40275,13.23439,-111365.55555,-58592.29631,2.87180,1.87180,-2.12820,23.79494,517583.07339,-88894.19621,2.57525,-0.42475,-3.42475,21.33779,-117450.09855,-143050.85073,2.77985,0.77985,-0.22015,23.03301,215639.88343,-9195.74885,3.07602,2.07602,-1.92398,25.48706,574053.41924,-80363.94017,2.17284,1.17284,-4.82716,18.00352,324308.48120,-201629.16761,2.22205,0.22205,-0.77795,18.41131,61401.68711,-32494.54904,1.98954,0.98954,-3.01046,16.48475,273623.07134,-125746.12703,3.22880,2.22880,-3.77120,26.75289,616297.49821,-157522.10512,Thailand,0.00267,82.92491,17.07241,0.19460,0.73665,-3.61987,0.45633,0.46339,-0.39334,0.13236,0.54868,-0.95914,0.43128,0.39794,-1.32109,-0.19114,0.39631,-0.31228,0.20306,0.46438,0.04951,0.01713,0.10222,0.40149
104,Myanmar,BM,MMR,119814.57143,24124734.0,693490.14286,-7.55381,-2.22883,-7.74680,-9050.56818,-537699.29365,-53723.32568,9.58182,2.69654,-10.91169,11480.41871,650532.79404,-75671.47766,9.37360,6.75564,-4.98320,11230.93526,1629779.46707,-34557.97661,3.85899,-1.65837,-7.19301,4623.62904,-400078.54956,-49882.80566,4.88697,-0.14809,-12.85299,5855.29853,-35727.41954,-89134.19045,12.49629,7.58027,-7.70574,14972.37068,1828719.75248,-53438.57913,-0.73707,-1.38880,-6.51719,-883.12228,-335043.48923,-45196.04260,10.25332,1.67641,-10.48056,12284.96571,404429.99539,-72681.68315,14.08855,8.31371,-7.84714,16880.13603,2005660.96946,-54419.16541,-3.70315,-1.71201,-7.28243,-4436.91106,-413018.20284,-50502.94225,3.99114,-0.09525,-12.84114,4781.96900,-22978.28901,-89052.06618,3.56098,4.57283,-11.18070,4266.57562,1103183.26715,-77537.07490,-7.05973,-2.29024,-6.92049,-8458.58966,-552514.21733,-47992.89991,0.46489,-1.27200,-12.09879,557.00469,-306867.28353,-83903.90918,10.02020,-1.49218,-11.50589,12005.65616,-359985.19515,-79792.19583,5.03627,-3.01398,-8.93858,6034.18966,-727114.15614,-61988.18705,7.51846,-1.22286,-11.99611,9008.21340,-295010.77318,-83191.86707,9.51298,1.66581,-11.70191,11397.93744,401871.69642,-81151.61119,1.77645,-3.64866,-9.86082,2128.44143,-880228.57083,-68383.84761,4.18131,-3.71451,-15.98500,5009.81400,-896116.20963,-110854.42825,8.31779,-1.53272,-16.32392,9965.92044,-369764.98746,-113204.74713,Mozambique,0.18382,12.77574,87.04044,-2.34716,-3.04515,-1.15236,-2.15520,-3.73241,-1.90524,-1.95046,-2.96310,-1.91405,-2.18806,-3.72727,-3.04699,-2.10973,-3.56416,-3.39566,-2.71866,-3.52796,-3.31836,-3.01526,-4.79343,-4.79631
119,Philippines,RP,PHL,0.0,13791621.14286,4959951.71429,-1.95375,-1.02376,-3.83095,0.00000,-141193.15160,-190013.28012,4.88132,1.52721,-7.51608,0.00000,210627.21985,-372793.89141,1.14456,-0.50263,-10.59816,0.00000,-69320.49990,-525663.67131,3.08723,-0.31972,-3.13357,0.00000,-44094.36618,-155423.65662,5.00488,1.79085,-6.29110,0.00000,246987.88677,-312035.61689,7.34501,4.77860,-7.33580,0.00000,659046.90908,-363852.22878,0.98063,-0.48006,-3.13142,0.00000,-66208.45818,-155316.85412,6.25390,1.62314,-6.23965,0.00000,223856.90763,-309483.81397,5.93470,3.02476,-9.43958,0.00000,417163.59119,-468198.66632,-1.09619,-1.49974,-4.32791,0.00000,-206838.16886,-214662.03740,4.15269,1.31813,-6.78023,0.00000,181791.95787,-336295.88683,2.95667,2.76141,-9.54001,0.00000,380842.67356,-473179.76428,-2.11598,-1.40818,-3.86028,0.00000,-194210.79029,-191467.96379,1.29333,-0.00143,-6.73215,0.00000,-197.38639,-333911.17619,4.11741,-2.28754,-8.09302,0.00000,-315488.73781,-401409.93225,2.95258,-1.46752,-4.43736,0.00000,-202394.64464,-220090.94458,4.32859,0.23207,-6.47724,0.00000,32005.74526,-321267.80384,5.74375,2.00488,-6.94221,0.00000,276505.52621,-344330.14854,1.26421,-1.58819,-4.32558,0.00000,-219037.26171,-214546.69846,2.76212,-0.53649,-7.29332,0.00000,-73990.74439,-361745.20880,5.46135,1.51118,-7.41922,0.00000,208416.18055,-367989.64979,Philippines,0.0,72.34171,27.65829,-0.60006,-0.32467,-1.09829,-0.36599,-0.14816,0.47599,-0.40446,-0.18386,-0.14089,-0.76065,-0.30724,-0.21365,-0.69546,-0.62101,-1.29775,-0.76298,-0.54120,-0.15658,-0.78177,-0.80177,-0.31961
19,Brazil,BR,BRA,3892588.57143,11437436.57143,39665359.42857,-3.42951,-5.42951,0.22958,-133496.85724,-620997.18233,91064.61865,-0.81203,-1.81203,1.42740,-31609.08202,-207250.06116,566182.92349,11.06370,10.06370,6.83385,430664.42632,1151029.61142,2710670.19306,-3.14224,-5.14224,-0.18219,-122314.35711,-588140.09160,-72266.57054,-3.98393,-5.98393,-0.13555,-155077.99216,-684408.16381,-53767.13331,7.50763,6.50763,5.49418,292241.03397,744305.72038,2179287.00637,-4.92389,-6.92389,-1.33475,-191666.81076,-791915.61915,-529434.61012,-2.25877,-4.25877,0.50835,-87924.80639,-487094.65668,201640.51325,7.51895,6.51895,4.01311,292681.82162,745600.86900,1591815.95778,-3.25635,-5.25635,0.27470,-126756.43107,-601192.05899,108958.76279,-2.73539,-4.73539,0.19836,-106477.52231,-541607.35631,78678.91548,10.13269,10.46602,6.35977,394423.93500,1197044.78643,2522626.34457,-6.87771,-8.87771,-2.36796,-267720.88210,-1015382.24063,-939258.61139,-5.84559,-6.84559,-1.84380,-227544.59404,-782959.50224,-731349.69237,-4.43210,-7.43210,-1.10781,-172523.41356,-850041.71016,-439418.17390,-5.01868,-7.01868,-2.22514,-195356.66605,-802757.37267,-882611.44986,-6.18879,-7.18879,-1.49887,-240904.15693,-822213.36902,-594531.33675,-1.49816,-2.49816,1.67684,-58317.26796,-285725.65061,665125.82631,-3.20715,-5.20715,-1.12775,-124841.06914,-595564.22800,-447327.33747,-4.62028,-5.62028,-0.91847,-179848.63606,-642816.38565,-364314.01456,-2.31762,-3.31762,1.17718,-90215.44394,-379450.77925,466934.41346,Brazil,7.37781,21.93906,70.68312,-0.42731,0.18383,2.61817,-0.49625,-0.56752,1.95502,-0.94192,-0.24722,1.60717,-0.39976,-0.36684,2.51300,-1.37629,-1.07880,-0.91352,-1.16097,-1.03107,0.17555,-0.72538,-0.74104,-0.02226
77,Japan,JA,JPN,806285.71429,10997571.42857,160.0,1.95383,0.83876,5.72934,15753.44442,92243.57443,9.16695,1.76565,1.21158,3.34192,14236.16333,133243.98872,5.34707,-4.16053,-4.95253,-6.01878,-33545.74267,-544658.31068,-9.63005,1.74972,1.83545,3.71399,14107.72208,201854.71776,5.94238,3.51052,4.46816,2.46731,28304.85117,491388.79934,3.94769,3.70381,3.49585,-0.48623,29863.28836,384458.11663,-0.77796,1.72839,1.59888,3.85801,13935.76374,175837.68839,6.17281,3.24576,3.00836,2.94156,26170.07806,330846.12063,4.70649,2.70762,-1.38128,0.64482,21831.18941,-151907.26682,1.03172,1.19395,1.78746,2.13158,9626.65282,196577.22354,3.41054,1.79538,2.89612,1.24537,14475.89633,318503.17904,1.99260,0.95936,3.57046,-3.21021,7735.15483,392663.63052,-5.13633,1.44476,0.72804,3.10889,11648.92623,80067.13910,4.97422,1.53856,2.77367,2.31760,12405.18503,305036.17649,3.70817,0.14536,-0.89285,0.73229,1172.00064,-98192.23115,1.17166,0.06017,0.15226,1.81902,485.11121,16745.12399,2.91043,0.30552,1.92218,0.88471,2463.34681,211392.69257,1.41554,2.33025,3.77336,1.82955,18788.48455,414977.75119,2.92728,0.98608,0.11178,3.41884,7950.66092,12293.25455,5.47015,0.90121,0.52166,3.88109,7266.33638,57369.98311,6.20975,1.04637,3.60352,0.77487,8436.72717,396300.13799,1.23979,Japan,3.56569,96.43245,0.00186,0.29287,0.41046,-1.64144,0.61081,1.47799,1.16773,0.53451,1.00561,-0.41181,0.58877,0.95228,1.15908,0.25121,0.90987,-0.28527,0.04967,0.62150,1.24062,0.04767,0.17842,1.17076
