,countries,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
153,United Arab Emirates,AE,ARE,104.0,0.0,261014065.71429,-1.21629,-3.21629,-5.53940,-1.26494,0.00000,-14458613.49938,-4.75621,-5.75621,-12.84275,-4.94646,0.00000,-33521388.69990,-13.57672,-14.57672,-19.80769,-14.11979,0.00000,-51700863.66269,-0.74334,-2.74334,-5.43960,-0.77308,0.00000,-14198127.50753,-1.24214,-3.24214,-9.83847,-1.29183,0.00000,-25679792.66060,-5.63710,-6.63710,-15.45514,-5.86259,0.00000,-40340099.81484,-0.56004,-2.56004,-5.02640,-0.58244,0.00000,-13119621.58929,-0.86725,-2.86725,-9.31227,-0.90194,0.00000,-24306347.40509,-4.33795,-5.33795,-14.17862,-4.51147,0.00000,-37008199.16784,-0.98883,-2.98883,-5.35966,-1.02839,0.00000,-13989467.92340,-0.14507,-2.14507,-9.02497,-0.15088,0.00000,-23556429.46055,-5.01129,-6.01129,-15.39135,-5.21175,0.00000,-40173595.59373,-0.87412,-2.87412,-5.07677,-0.90909,0.00000,-13251074.89381,-1.67689,-2.67689,-8.33692,-1.74397,0.00000,-21760529.86281,-3.28459,-6.28459,-11.02092,-3.41597,0.00000,-28766159.26491,-2.24157,-4.24157,-7.10662,-2.33123,0.00000,-18549282.11468,-4.26442,-5.26442,-10.85315,-4.43500,0.00000,-28328249.46162,-4.73983,-5.73983,-12.65098,-4.92942,0.00000,-33020838.21739,-1.53782,-3.53782,-6.03328,-1.59933,0.00000,-15747708.01552,-2.02718,-3.02718,-8.65736,-2.10827,0.00000,-22596934.03915,-9.46690,-10.46690,-17.78780,-9.84557,0.00000,-46428654.95608,United Arab Emirates,12.78451,0.0,87.21549,-1.66224,-3.93631,-6.33703,-1.61307,-2.91316,-4.73332,-1.48513,-2.74421,-4.30685,-1.60029,-2.62990,-4.68810,-1.51316,-2.49516,-3.34396,-2.16155,-3.33694,-3.87986,-1.81952,-2.60324,-5.57467
30,China,CH,CHN,94879370.28571,179210744.42857,124781476.71429,-0.22430,-0.92192,-3.29653,-212811.53067,-1652175.83578,-4113463.83793,6.09623,3.66789,-5.97330,5784060.88591,6573247.17873,-7453574.17184,-0.86663,7.12202,-0.15817,-822249.20007,12763432.79497,-197368.14517,-1.17205,-1.17682,-5.05165,-1112037.89393,-2108985.34730,-6303517.67522,7.26287,3.64713,-6.95717,6890964.18842,6536041.82651,-8681254.61947,8.31417,8.70671,-2.84818,7888432.27892,15603366.89753,-3553998.00236,3.80454,-0.23647,-3.54184,3609722.34750,-423787.20772,-4419561.66687,7.82739,2.99786,-5.95600,7426575.41122,5372490.07883,-7431989.75929,5.75211,8.90861,-2.44744,5457566.95798,15965179.34090,-3053953.20182,-2.31237,-1.31490,-5.30593,-2193959.28733,-2356443.65532,-6620815.41976,6.09717,-0.12996,-7.43410,5784953.86936,-232896.74869,-9276384.70998,6.59518,7.54693,-4.11270,6257463.11572,13524916.40713,-5131885.46890,3.32308,-0.67114,-3.35095,3152919.15024,-1202758.44965,-4181366.12003,5.25686,0.82384,-6.61703,4987675.87841,1476410.44796,-8256821.80564,5.68573,-0.62601,-7.80640,5394580.68501,-1121885.70472,-9740944.05687,0.74835,-1.67757,-5.56470,710032.69415,-3006382.22149,-6943720.51941,4.23007,0.43766,-7.45911,4013462.71452,784334.69406,-9307589.55341,6.83508,3.82788,-6.21786,6485078.88958,6859980.33375,-7758740.22107,0.08220,-1.77553,-5.73194,77986.29254,-3181941.58961,-7152399.17772,4.99764,0.81480,-7.41287,4741731.95462,1460204.60156,-9249893.79190,7.56187,4.28713,-5.45728,7174654.88560,7682989.55953,-6809668.93609,China,25.38845,45.25139,29.36016,-0.48066,0.48458,0.98545,-0.77109,0.48389,1.73817,-0.06033,0.53171,1.59102,-0.91330,-0.23117,1.29400,-0.14796,-0.07844,-0.37725,-0.73431,-0.30600,0.54731,-0.82183,-0.17963,0.75252
19,Brazil,BR,BRA,3892588.57143,11437436.57143,39665359.42857,-3.42951,-5.42951,0.22958,-133496.85724,-620997.18233,91064.61865,-0.81203,-1.81203,1.42740,-31609.08202,-207250.06116,566182.92349,11.06370,10.06370,6.83385,430664.42632,1151029.61142,2710670.19306,-3.14224,-5.14224,-0.18219,-122314.35711,-588140.09160,-72266.57054,-3.98393,-5.98393,-0.13555,-155077.99216,-684408.16381,-53767.13331,7.50763,6.50763,5.49418,292241.03397,744305.72038,2179287.00637,-4.92389,-6.92389,-1.33475,-191666.81076,-791915.61915,-529434.61012,-2.25877,-4.25877,0.50835,-87924.80639,-487094.65668,201640.51325,7.51895,6.51895,4.01311,292681.82162,745600.86900,1591815.95778,-3.25635,-5.25635,0.27470,-126756.43107,-601192.05899,108958.76279,-2.73539,-4.73539,0.19836,-106477.52231,-541607.35631,78678.91548,10.13269,10.46602,6.35977,394423.93500,1197044.78643,2522626.34457,-6.87771,-8.87771,-2.36796,-267720.88210,-1015382.24063,-939258.61139,-5.84559,-6.84559,-1.84380,-227544.59404,-782959.50224,-731349.69237,-4.43210,-7.43210,-1.10781,-172523.41356,-850041.71016,-439418.17390,-5.01868,-7.01868,-2.22514,-195356.66605,-802757.37267,-882611.44986,-6.18879,-7.18879,-1.49887,-240904.15693,-822213.36902,-594531.33675,-1.49816,-2.49816,1.67684,-58317.26796,-285725.65061,665125.82631,-3.20715,-5.20715,-1.12775,-124841.06914,-595564.22800,-447327.33747,-4.62028,-5.62028,-0.91847,-179848.63606,-642816.38565,-364314.01456,-2.31762,-3.31762,1.17718,-90215.44394,-379450.77925,466934.41346,Brazil,7.37781,21.93906,70.68312,-0.42731,0.18383,2.61817,-0.49625,-0.56752,1.95502,-0.94192,-0.24722,1.60717,-0.39976,-0.36684,2.51300,-1.37629,-1.07880,-0.91352,-1.16097,-1.03107,0.17555,-0.72538,-0.74104,-0.02226
99,Mexico,MX,MEX,3062163.71429,283639.85714,20084644.14286,-0.08908,-2.08908,-5.77502,-2727.91478,-5925.47643,-1159892.92177,-7.05479,-8.05479,-10.20910,-216029.29873,-22846.60219,-2050461.47340,-17.14334,-18.14334,-2.81012,-524957.19064,-51461.74864,-564402.39774,-0.57021,-2.57021,-5.37184,-17460.74628,-7290.13836,-1078915.81481,0.04770,-1.95230,-7.09217,1460.55994,-5537.50947,-1424437.15531,-4.33889,-5.33889,-4.37182,-132863.83536,-15143.21258,-878064.44997,-2.77745,-4.77745,-5.51369,-85050.20067,-13550.76482,-1107404.22363,-4.72492,-6.72492,-8.34906,-144684.64825,-19074.54074,-1676878.92439,-10.36302,-11.36302,-9.25519,-317332.59661,-32230.04985,-1858872.60801,-1.23343,-3.23343,-4.74216,-37769.53167,-9171.28565,-952446.76996,-3.83426,-5.83426,-7.74259,-117411.40183,-16548.29445,-1555071.06304,-11.20618,-12.20618,2.39105,-343151.57258,-34621.59104,480232.96315,-4.38904,-6.38904,-6.21715,-134399.56844,-18121.86191,-1248691.96726,-5.74319,-6.74319,-8.96103,-175865.97519,-19126.38328,-1799791.06944,-6.76722,-9.76722,-8.11492,-207223.38507,-27703.73161,-1629852.78816,-4.69860,-6.69860,-7.37896,-143878.94603,-18999.91075,-1482037.35766,-3.96605,-5.96605,-9.24994,-121446.82723,-16922.08488,-1857817.81017,-3.34900,-4.34900,-6.69607,-102551.79788,-12335.49137,-1344882.20860,-4.21905,-6.21905,-7.25868,-129194.09739,-17639.69335,-1457880.98260,-2.93656,-3.93656,-9.10497,-89922.39166,-11165.66399,-1828701.63149,-8.11178,-9.11178,-7.46407,-248395.85710,-25844.62804,-1499131.99925,Mexico,15.48521,1.8081,82.7067,-1.60930,-3.22723,-1.76896,-1.52588,-1.96454,-1.46140,-1.69222,-2.58616,-3.15495,-1.39052,-2.36762,0.00718,-1.97906,-2.80755,-2.64537,-2.31720,-2.79078,-2.04511,-2.25640,-2.68544,-2.53139
5,Argentina,AR,ARG,14503088.71429,914794.85714,15968048.57143,3.42404,1.42404,-5.07935,496591.52720,13027.04269,-811073.14296,11.29631,10.29631,-7.14610,1638314.23198,94190.13777,-1141093.40346,0.02187,-0.97813,-8.77119,3171.28773,-8947.91686,-1400587.18299,10.14635,8.14635,-6.83726,1471534.82989,74522.43425,-1091776.60853,9.87371,7.87371,-9.14445,1431992.21057,72028.24935,-1460190.85425,9.84662,8.84662,-11.78469,1428064.06704,80928.42688,-1881784.51401,5.51150,3.51150,-6.47761,799338.31886,32123.05827,-1034347.19848,14.64283,12.64283,-11.32447,2123662.72473,115655.96492,-1808297.48780,9.01810,8.01810,-9.80932,1307903.34131,73349.18524,-1566356.81638,3.77050,1.77050,-3.87509,546838.71658,16196.42759,-618776.26901,5.98613,3.98613,-7.92892,868174.30462,36464.94757,-1266093.64803,3.53997,2.53997,-8.45176,513405.25338,23235.53157,-1349581.57610,2.11590,0.11590,-4.23102,306870.57909,1060.22989,-675610.59321,4.46914,3.46914,-7.18021,648163.51765,31735.52558,-1146539.93173,6.29893,3.29893,-11.79911,913539.72099,30178.46185,-1884086.93568,3.44397,1.44397,-4.29883,499482.48945,13209.39263,-686440.00491,8.27943,7.27943,-8.87399,1200772.46491,66591.81260,-1417002.78440,7.23303,6.23303,-10.28867,1049012.51061,57019.42230,-1642899.21922,3.54562,1.54562,-7.04529,514224.86846,14139.28093,-1124995.53917,1.28647,0.28647,-8.19882,186578.29869,2620.63890,-1309192.30563,9.86136,8.86136,-11.56345,1430202.42363,81063.30557,-1846457.47431,Argentina,58.21314,3.54749,38.23936,0.03382,1.40286,-1.12534,1.19366,0.84344,0.51316,0.28533,1.54738,0.59438,0.25864,0.19805,-0.36036,-0.12736,-0.00699,-0.24269,0.13741,0.56153,0.16579,-0.19174,-0.79204,0.54439
51,France,FR,FRA,35750412.71429,106130.85714,14831270.57143,4.19423,2.19423,-1.67741,1499454.45398,2328.75487,-248781.44312,9.28173,8.28173,-1.37371,3318256.07022,8789.46892,-203738.59163,7.48427,6.48427,1.19046,2675657.48258,6881.81154,176559.65248,5.66527,3.66527,-1.16040,2025357.48500,3889.98270,-172102.63626,9.20340,7.20340,-1.31706,3290252.38144,7645.02689,-195336.65045,13.13828,12.13828,0.44838,4696988.52251,12882.45823,66500.71519,3.48842,1.48842,-0.72437,1247123.80165,1579.67069,-107433.95461,8.91649,6.91649,-1.65543,3187682.61352,7340.53202,-245521.33782,13.15282,12.15282,0.76610,4702188.99391,12897.89667,113622.94812,3.34408,1.34408,-1.47746,1195523.11717,1426.48575,-219125.73325,9.07301,7.07301,-1.81019,3243638.03524,7506.64470,-268474.01390,13.51139,12.51139,0.44420,4830377.76891,13278.44569,65880.94913,1.60704,-0.39296,-1.71428,574524.65222,-417.04820,-254248.85804,5.28107,4.28107,-2.83102,1888005.47589,4543.53972,-419876.51554,6.86357,3.86357,-3.20944,2453753.37567,4100.43632,-476000.86686,3.65645,2.31290,-2.60245,1307195.09769,2454.69544,-385976.13344,5.12973,4.12973,-3.19070,1833897.86781,4382.91257,-473220.94648,7.24377,6.24377,-1.41633,2589677.69202,6626.56668,-210059.58776,3.15843,1.15843,-2.54510,1129150.41122,1229.44768,-377470.90683,5.49909,4.49909,-3.12879,1965948.73333,4774.92683,-464038.87384,8.85373,7.85373,-1.34636,3165244.75976,8335.23021,-199682.74920,France,71.0541,0.2275,28.7184,0.83448,2.07313,1.89150,1.23350,2.05918,3.16389,0.75801,1.95862,3.19776,0.65162,1.98099,3.25214,0.21622,0.98304,1.32131,0.61865,0.91265,1.58482,0.50530,1.00634,1.97405
68,India,IN,IND,70674928.0,129906128.57143,13599800.0,-4.09953,-6.09953,-7.09953,-2897341.18071,-7923665.68251,-965522.13203,-1.96654,-2.96654,-8.96654,-1389853.60301,-3853722.54901,-1219432.05994,-2.44421,-3.44421,-12.44421,-1727441.27168,-4474235.48524,-1692387.21245,-2.22806,-4.22806,-5.22806,-1574681.67220,-5492512.49947,-711006.06399,-3.27071,-5.27071,-10.27071,-2311568.44453,-6846968.88871,-1396795.34642,-1.07383,-2.07383,-12.07383,-758929.48795,-2694033.93625,-1642016.90718,-1.77626,-3.77626,-4.77626,-1255372.75664,-4905597.36262,-649562.24632,-0.96811,-2.96811,-7.96811,-684214.23614,-3855762.65746,-1083647.63775,-0.08296,-1.08296,-11.08296,-58633.16474,-1406833.69741,-1507260.63355,-2.79575,-4.79575,-5.79575,-1975894.49651,-6229973.52297,-788210.44640,-4.06003,-6.06003,-11.06003,-2869425.48384,-7872354.41543,-1504142.38416,-2.11396,-3.11396,-13.11396,-1494036.34150,-4045218.69347,-1783471.68428,-1.67841,-3.67841,-4.67841,-1186217.14982,-4778483.86699,-636254.80550,-2.13705,-3.13705,-7.13705,-1510355.06497,-4075213.80275,-970623.85551,-4.85907,-7.85907,-10.85907,-3434144.90291,-10209414.82666,-1476811.93251,-4.62209,-6.62209,-7.62209,-3266660.32196,-8602503.58451,-1036589.29261,-5.62810,-6.62810,-10.62810,-3977652.31222,-8610302.02280,-1445399.70676,-4.64188,-5.64188,-11.64188,-3280644.90665,-7329147.07570,-1583272.31134,-2.92672,-4.92672,-5.92672,-2068460.08547,-6400116.42430,-806022.61165,-3.55500,-4.55500,-8.55500,-2512491.98690,-5917221.02526,-1163462.56220,-2.26457,-3.26457,-9.26457,-1600481.97018,-4240874.20974,-1259962.75094,India,32.30633,62.84411,4.84956,-1.83397,-0.97815,-1.18587,-1.21014,-1.62235,-0.74524,-1.05954,-0.85482,-0.41495,-1.39937,-1.88546,-1.09195,-1.02693,-1.00265,-2.34512,-2.00815,-2.16634,-1.86993,-1.44303,-1.47531,-1.07749
69,Indonesia,ID,IDN,0.0,52668656.85714,10693671.71429,-1.95375,-1.02376,-3.83095,0.00000,-539200.83618,-409669.23792,4.88132,1.52721,-7.51608,0.00000,804361.76807,-803744.81880,1.14456,-0.50263,-10.59816,0.00000,-264727.22711,-1133332.55180,3.08723,-0.31972,-3.13357,0.00000,-168391.44707,-335093.89935,5.00488,1.79085,-6.29110,0.00000,943219.08363,-672749.78516,7.34501,4.77860,-7.33580,0.00000,2516826.35041,-784466.56566,0.98063,-0.48006,-3.13142,0.00000,-252842.68825,-334863.63281,6.25390,1.62314,-6.23965,0.00000,854884.46433,-667248.08993,5.93470,3.02476,-9.43958,0.00000,1593101.04376,-1009437.81777,-1.09619,-1.49974,-4.32791,0.00000,-789891.80660,-462812.03724,4.15269,1.31813,-6.78023,0.00000,694243.13133,-725055.00453,2.95667,2.76141,-9.54001,0.00000,1454395.52628,-1020177.08085,-2.11598,-1.40818,-3.86028,0.00000,-741669.26177,-412805.54057,1.29333,-0.00143,-6.73215,0.00000,-753.79652,-719913.56077,4.11741,-2.28754,-8.09302,0.00000,-1204816.16350,-865441.09411,2.95258,-1.46752,-4.43736,0.00000,-772922.48518,-474516.77844,4.32859,0.23207,-6.47724,0.00000,122226.35737,-692654.40967,5.74375,2.00488,-6.94221,0.00000,1055943.64348,-742376.89839,1.26421,-1.58819,-4.32558,0.00000,-836478.77625,-462563.36612,2.76212,-0.53649,-7.29332,0.00000,-282562.36788,-779923.82386,5.46135,1.51118,-7.41922,0.00000,795918.05657,-793386.85854,Indonesia,0.0,84.59264,15.40736,-0.48542,0.04463,-0.68603,-0.25109,0.18188,0.97070,-0.29619,0.13723,0.36811,-0.64516,0.02346,0.28869,-0.59533,-0.34615,-1.06067,-0.64170,-0.26722,0.20879,-0.66998,-0.52585,0.04508
74,Italy,IT,ITA,7313150.57143,1375955.85714,10202151.28571,4.19423,2.19423,-1.67741,306730.33860,30191.63308,-171132.06233,9.28173,8.28173,-1.37371,678786.74493,113952.92161,-140147.93436,7.48427,6.48427,1.19046,547335.94837,89220.69551,121452.05476,5.66527,3.66527,-1.16040,414309.74146,50432.50027,-118386.15736,9.20340,7.20340,-1.31706,673058.27420,99115.56179,-134368.39750,13.13828,12.13828,0.44838,960822.03503,167017.34379,45744.58767,3.48842,1.48842,-0.72437,255113.25465,20479.97347,-73901.79101,8.91649,6.91649,-1.65543,652076.47008,95167.87385,-168889.49738,13.15282,12.15282,0.76610,961885.85018,167217.49865,78159.08291,3.34408,1.34408,-1.47746,244557.75203,18493.97503,-150732.45886,9.07301,7.07301,-1.81019,663522.78337,97321.47669,-184678.21033,13.51139,12.51139,0.44420,988108.31146,172151.20661,45318.26229,1.60704,-0.39296,-1.71428,117525.50445,-5406.90919,-174892.99393,5.28107,4.28107,-2.83102,386212.83718,58905.67787,-288825.13553,6.86357,3.86357,-3.20944,501942.95783,53160.97051,-327432.01821,3.65645,2.31290,-2.60245,267401.51651,31824.41620,-265505.70209,5.12973,4.12973,-3.19070,375144.51503,56823.19338,-325519.76341,7.24377,6.24377,-1.41633,529747.81143,85911.51983,-144496.02838,3.15843,1.15843,-2.54510,230980.46563,15939.43351,-259655.11713,5.49909,4.49909,-3.12879,402157.01053,61905.54482,-319203.58883,8.85373,7.85373,-1.34636,647486.55375,108063.84809,-137357.99685,Italy,42.12951,7.51103,50.35946,0.36236,1.28020,1.41321,0.69256,1.25171,2.22420,0.40555,1.14744,2.27994,0.25525,1.14736,2.28524,-0.07193,0.37359,0.52184,0.13453,0.28816,0.93583,0.04531,0.35968,1.21397
133,South Africa,SF,ZAF,2087662.14286,3171.42857,9620751.0,-1.06584,-3.06584,-4.06584,-22251.17580,-97.23098,-391164.51580,-2.38166,-3.38166,-9.38166,-49720.99750,-107.24691,-902586.07135,-8.93936,-9.93936,-18.93936,-186623.56491,-315.21960,-1822108.34573,-0.50446,-2.50446,-3.50446,-10531.49767,-79.42728,-337155.72637,-1.22881,-3.22881,-8.22881,-25653.30901,-102.39926,-791672.89561,-2.52549,-3.52549,-13.52549,-52723.72120,-111.80843,-1301253.81833,-0.72363,-2.72363,-3.72363,-15107.01556,-86.37808,-358241.47461,0.28584,-1.71416,-6.71416,5967.32222,-54.36344,-645952.85153,-2.29744,-3.29744,-13.29744,-47962.76587,-104.57593,-1279313.50299,-0.19550,-2.19550,-3.19550,-4081.45832,-69.62883,-307431.46149,0.92959,-1.07041,-6.07041,19406.61476,-33.94742,-584019.41674,-1.51312,-2.51312,-12.51312,-31588.74500,-79.70167,-1203855.71008,-1.14550,-3.14550,-4.14550,-23914.16996,-99.75729,-398828.23323,-1.91286,-2.91286,-6.91286,-39934.12347,-92.37938,-665069.36740,-3.84806,-6.84806,-9.84806,-80334.48008,-217.18131,-947457.27668,-1.78919,-3.78919,-4.78919,-37352.18412,-120.17137,-460755.77671,-2.53148,-3.53148,-7.53148,-52848.78168,-111.99841,-724585.08520,-4.18068,-5.18068,-11.18068,-87278.38508,-164.30143,-1075664.97463,-1.76260,-3.76260,-4.76260,-36797.15673,-119.32821,-458197.99682,-3.32436,-4.32436,-8.32436,-69401.41348,-137.14400,-800865.98604,-2.57484,-3.57484,-9.57484,-53753.95787,-113.37349,-921171.50559,South Africa,21.05094,0.02329,78.92577,-1.14469,-2.63557,-5.61072,-0.95757,-2.25136,-3.73585,-1.03062,-1.74648,-3.65984,-0.85458,-1.53189,-3.39839,-1.17125,-1.95313,-2.86143,-1.38581,-2.15933,-3.23524,-1.37695,-2.42363,-2.69996
